weight,name,ind,stkcd
0.010239629,分众传媒,传媒,sz002027
0.004436183,芒果超媒,传媒,sz300413
0.016307578,长江电力,电力及公用事业,sh600900
0.018924216,阳光电源,电力设备及新能源,sz300274
0.010673067,璞泰来,电力设备及新能源,sh603659
0.010673067,容百科技,电力设备及新能源,sh688005
0.026207851,TCL科技,电子,sz000100
0.040303315,京东方A,电子,sz000725
0.009281107,卓胜微,电子,sz300782
0.009281107,中芯国际,电子,sh688981
0.028696905,新城控股,房地产,sh601155
0.001138206,太平鸟,纺织服装,sh603877
0.019055417,中信证券,非银行金融,sh600030
0.006694058,招商证券,非银行金融,sh600999
0.006889329,国泰君安,非银行金融,sh601211
0.07689826,中国平安,非银行金融,sh601318
0.003759807,新华保险,非银行金融,sh601336
0.005819362,中航光电,国防军工,sz002179
0.006418876,鸿远电子,国防军工,sh603267
0.011371637,中联重科,机械,sz000157
0.009901744,石头科技,机械,sh688169
0.004678909,华峰化学,基础化工,sz002064
0.009642199,天赐材料,基础化工,sz002709
0.003809615,三友化工,基础化工,sh600409
0.02097398,科大讯飞,计算机,sz002230
0.0063381,同花顺,计算机,sz300033
0.0091206,中科创达,计算机,sz300496
0.046122544,海尔智家,家电,sh600690
0.007448055,中国巨石,建材,sh600176
0.008738651,旗滨集团,建材,sh601636
0.016146416,鸿路钢构,建筑,sz002541
0.025524028,吉祥航空,交通运输,sh603885
0.006647932,中国神华,煤炭,sh601088
0.02053808,海大集团,农林牧渔,sz002311
0.014907597,德赛西威,汽车,sz002920
0.013618073,拓普集团,汽车,sh601689
0.003182949,太阳纸业,轻工制造,sz002078
0.003525418,周大生,商贸零售,sz002867
0.013406662,桐昆股份,石油石化,sh601233
0.0603506,泸州老窖,食品饮料,sz000568
0.014992774,酒鬼酒,食品饮料,sz000799
0.007053605,水井坊,食品饮料,sh600779
0.044940381,山西汾酒,食品饮料,sh600809
0.00937836,安井食品,食品饮料,sh603345
0.015249952,亿联网络,通信,sz300628
0.020588443,中国中免,消费者服务,sh601888
0.03827232,泰格医药,医药,sz300347
0.021272055,博腾股份,医药,sz300363
0.021272055,康龙化成,医药,sz300759
0.017593104,金域医学,医药,sh603882
0.051317292,平安银行,银行,sz000001
0.027808273,浦发银行,银行,sh600000
0.04210451,工商银行,银行,sh601398
0.004537495,邮储银行,银行,sh601658
0.010797061,建设银行,银行,sh601939
0.025131196,云铝股份,有色金属,sz000807
