weight,name,ind,stkcd
0.014772955,分众传媒,传媒,sz002027
0.014085464,长江电力,电力及公用事业,sh600900
0.041494363,TCL科技,电子,sz000100
0.041494363,京东方A,电子,sz000725
0.041494363,中信证券,非银行金融,sh600030
0.035520331,招商证券,非银行金融,sh600999
0.036556492,国泰君安,非银行金融,sh601211
0.008715196,中联重科,机械,sz000157
0.000928017,旗滨集团,建材,sh601636
0.041494363,平安银行,银行,sz000001
0.053595707,浦发银行,银行,sh600000
0.041494363,工商银行,银行,sh601398
0.008745248,邮储银行,银行,sh601658
0.003450465,川投能源,电力及公用事业,sh600674
0.039593715,蓝思科技,电子,sz300433
0.011788702,环旭电子,电子,sh601231
0.029147512,华侨城A,房地产,sz000069
0.017200283,金科股份,房地产,sz000656
0.022368653,广发证券,非银行金融,sz000776
0.042468683,海通证券,非银行金融,sh600837
0.014678519,华菱钢铁,钢铁,sz000932
0.021499031,中航机电,国防军工,sz002013
0.00886728,金发科技,基础化工,sh600143
0.035979257,浪潮信息,计算机,sz000977
0.019827604,中国铁建,建筑,sh601186
0.012716885,中国中冶,建筑,sh601618
0.014420584,宁沪高速,交通运输,sh600377
0.023833912,中远海控,交通运输,sh601919
0.013399478,兖州煤业,煤炭,sh600188
0.03078452,温氏股份,农林牧渔,sz300498
0.019427606,华域汽车,汽车,sh600741
0.018858955,长城汽车,汽车,sh601633
0.021122241,中国石化,石油石化,sh600028
0.041494363,双汇发展,食品饮料,sz000895
0.0293829,工业富联,通信,sh601138
0.041494363,复星医药,医药,sh600196
0.040994837,农业银行,银行,sh601288
0.041494363,紫金矿业,有色金属,sh601899
0.003314064,合盛硅业,有色金属,sh603260
