weight,name,ind,stkcd
0.0204999999999999,神州高铁,机械,sz000008
0.0016,深康佳A,家电,sz000016
0.0199,深天地A,建材,sz000023
0.0008,深赛格,房地产,sz000058
0.0012,特发信息,通信,sz000070
0.0121,广聚能源,石油石化,sz000096
0.0054,烽火电子,国防军工,sz000561
0.0008,粤宏远A,房地产,sz000573
0.0203,东北制药,医药,sz000597
0.0021,吉林敖东,非银行金融,sz000623
0.0021,东北证券,非银行金融,sz000686
0.0187,黑芝麻,食品饮料,sz000716
0.0081999999999999,中信国安,综合,sz000839
0.0008,现代投资,交通运输,sz000900
0.0054,航天科技,国防军工,sz000901
0.0036,东方钽业,有色金属,sz000962
0.0008,天保基建,房地产,sz000965
0.0021,越秀金控,非银行金融,sz000987
0.0008,招商港口,交通运输,sz001872
0.0042,中钢天源,钢铁,sz002057
0.0054,成飞集成,国防军工,sz002190
0.0227,ST云投,农林牧渔,sz002200
0.0058,*ST升达,电力及公用事业,sz002259
0.0036,精艺股份,有色金属,sz002295
0.0042,博云新材,钢铁,sz002297
0.0012,日海智能,通信,sz002313
0.0187,得利斯,食品饮料,sz002330
0.0202,新纶科技,基础化工,sz002341
0.0254,ST森源,电力设备及新能源,sz002358
0.0254,中恒电气,电力设备及新能源,sz002364
0.0022,中远海科,计算机,sz002401
0.0003,中粮资本,综合金融,sz002423
0.0033,华斯股份,纺织服装,sz002494
0.0187,佳隆股份,食品饮料,sz002495
0.0254,协鑫集成,电力设备及新能源,sz002506
0.0141,天汽模,汽车,sz002510
0.0012,春兴精工,通信,sz002547
0.0127,明牌珠宝,商贸零售,sz002574
0.0022,雷柏科技,计算机,sz002577
0.0187,好想你,食品饮料,sz002582
0.0016,哈尔斯,家电,sz002615
0.0022,博彦科技,计算机,sz002649
0.0021,西部证券,非银行金融,sz002673
0.0203,龙津药业,医药,sz002750
0.0203,罗欣药业,医药,sz002793
0.0036,翔鹭钨业,有色金属,sz002842
0.0008,东方嘉盛,交通运输,sz002889
0.0019,金逸影视,传媒,sz002905
0.0021,华西证券,非银行金融,sz002926
0.0054,天奥电子,国防军工,sz002935
0.0069999999999999,郑州银行,银行,sz002936
0.0021,长城证券,非银行金融,sz002939
0.0021,华林证券,非银行金融,sz002945
0.0019,中青宝,传媒,sz300052
0.0204999999999999,海默科技,机械,sz300084
0.0204999999999999,万讯自控,机械,sz300112
0.0203,舒泰神,医药,sz300204
0.0016,东方电热,家电,sz300217
0.0019,佳云科技,传媒,sz300242
0.0022,兆日科技,计算机,sz300333
0.0036,银邦股份,有色金属,sz300337
0.0202,科恒股份,基础化工,sz300340
0.0054,天和防务,国防军工,sz300397
0.0022,浩丰科技,计算机,sz300419
0.0204999999999999,诚益通,机械,sz300430
0.0202,达威股份,基础化工,sz300535
0.0022,丝路视觉,计算机,sz300556
0.0054,晨曦航空,国防军工,sz300581
0.0171,森霸传感,电子,sz300701
0.0202,国立科技,基础化工,sz300716
0.0227,顶固集创,轻工制造,sz300749
0.0021,国投资本,非银行金融,sh600061
0.0024,兰花科创,煤炭,sh600123
0.0254,长城电工,电力设备及新能源,sh600192
0.0171,有研新材,电子,sh600206
0.0202,沧州大化,基础化工,sh600230
0.0203,海正药业,医药,sh600267
0.0202,太化股份,基础化工,sh600281
0.0199,三峡新材,建材,sh600293
0.0187,ST维维,食品饮料,sh600300
0.0003,新力金融,综合金融,sh600318
0.0021,西南证券,非银行金融,sh600369
0.0021,五矿资本,非银行金融,sh600390
0.0054,北方导航,国防军工,sh600435
0.0199,宁夏建材,建材,sh600449
0.0054,航天晨光,国防军工,sh600501
0.0008,华丽家族,房地产,sh600503
0.0024,上海能源,煤炭,sh600508
0.0171,长园集团,电力设备及新能源,sh600525
0.0021,华鑫股份,非银行金融,sh600621
0.0141,交运股份,汽车,sh600676
0.0141,一汽富维,汽车,sh600742
0.0022,浪潮软件,计算机,sh600756
0.0003,鲁信创投,综合金融,sh600783
0.0227,宜宾纸业,轻工制造,sh600793
0.0019,新华传媒,传媒,sh600825
0.0003,香溢融通,综合金融,sh600830
0.0019,广电网络,传媒,sh600831
0.0016,四川长虹,家电,sh600839
0.0019,广西广电,传媒,sh600936
0.0024,宝泰隆,煤炭,sh601011
0.0024,昊华能源,煤炭,sh601101
0.0021,天风证券,非银行金融,sh601162
0.0022,大智慧,计算机,sh601519
0.0187,爱普股份,食品饮料,sh603020
0.0203,圣达生物,医药,sh603079
0.0008,上海雅仕,交通运输,sh603329
0.0171,东尼电子,电子,sh603595
0.0121,中曼石油,石油石化,sh603619
0.0171,沃格光电,电子,sh603773
0.0054,兴图新科,国防军工,sh688081
