weight,name,ind,stkcd
0.011331328,分众传媒,传媒,sz002027
0.005830483,长江电力,电力及公用事业,sh600900
0.033880671,璞泰来,电力设备及新能源,sh603659
0.033880671,容百科技,电力设备及新能源,sh688005
0.021362129,卓胜微,电子,sz300782
0.003172772,新城控股,房地产,sh601155
0.003337591,太平鸟,纺织服装,sh603877
0.024197536,中航光电,国防军工,sz002179
0.024197536,鸿远电子,国防军工,sh603267
0.040366998,天赐材料,基础化工,sz002709
0.005796146,同花顺,计算机,sz300033
0.005796146,中科创达,计算机,sz300496
0.059582183,中国巨石,建材,sh600176
0.008343978,鸿路钢构,建筑,sz002541
0.022745066,海大集团,农林牧渔,sz002311
0.042245251,拓普集团,汽车,sh601689
0.024187235,桐昆股份,石油石化,sh601233
0.028091392,酒鬼酒,食品饮料,sz000799
0.028091392,安井食品,食品饮料,sh603345
0.018851209,中国中免,消费者服务,sh601888
0.020277927,金域医学,医药,sh603882
0.006984219,平安银行,银行,sz000001
0.020277927,派林生物,医药,sz000403
0.006551568,格力电器,家电,sz000651
0.008374882,中信特钢,钢铁,sz000708
0.033880671,中环股份,电力设备及新能源,sz002129
0.028091392,百润股份,食品饮料,sz002568
0.040366998,卫星石化,基础化工,sz002648
0.020277927,智飞生物,医药,sz300122
0.028091392,汤臣倍健,食品饮料,sz300146
0.020277927,迪安诊断,医药,sz300244
0.040993654,晶盛机电,机械,sz300316
0.021362129,扬杰科技,电子,sz300373
0.003461206,广和通,通信,sz300638
0.003152169,上海机场,交通运输,sh600009
0.040366998,华鲁恒升,基础化工,sh600426
0.012691087,老凤祥,商贸零售,sh600612
0.020277927,药明康德,医药,sh603259
0.040993654,科沃斯,机械,sh603486
0.021362129,韦尔股份,电子,sh603501
0.005796146,国联股份,计算机,sh603613
0.014339281,华友钴业,有色金属,sh603799
0.045366517,志邦家居,轻工制造,sh603801
0.020277927,心脉医疗,医药,sh688016
0.021362129,晶晨股份,电子,sh688099
