weight,name,ind,stkcd
0.004530721,分众传媒,传媒,sz002027
0.002331262,长江电力,电力及公用事业,sh600900
0.013546856,璞泰来,电力设备及新能源,sh603659
0.013546856,容百科技,电力设备及新能源,sh688005
0.008541439,卓胜微,电子,sz300782
0.001268602,新城控股,房地产,sh601155
0.001334503,太平鸟,纺织服装,sh603877
0.009675149,中航光电,国防军工,sz002179
0.009675149,鸿远电子,国防军工,sh603267
0.01614035,天赐材料,基础化工,sz002709
0.002317532,同花顺,计算机,sz300033
0.002317532,中科创达,计算机,sz300496
0.023823355,中国巨石,建材,sh600176
0.003336258,鸿路钢构,建筑,sz002541
0.009094393,海大集团,农林牧渔,sz002311
0.016891352,拓普集团,汽车,sh601689
0.00967103,桐昆股份,石油石化,sh601233
0.011232069,酒鬼酒,食品饮料,sz000799
0.011232069,安井食品,食品饮料,sh603345
0.007537472,中国中免,消费者服务,sh601888
0.008107931,金域医学,医药,sh603882
0.002792572,平安银行,银行,sz000001
0.012293185,神州高铁,机械,sz000008
0.000982343,深康佳A,家电,sz000016
0.011911677,深天地A,建材,sz000023
0.000475726,深赛格,房地产,sz000058
0.000691965,特发信息,通信,sz000070
0.007253273,广聚能源,石油石化,sz000096
0.008107931,派林生物,医药,sz000403
0.00322505,烽火电子,国防军工,sz000561
0.000475726,粤宏远A,房地产,sz000573
0.012161897,东北制药,医药,sz000597
0.001243984,吉林敖东,非银行金融,sz000623
0.002619581,格力电器,家电,sz000651
0.001243984,东北证券,非银行金融,sz000686
0.003348615,中信特钢,钢铁,sz000708
0.011232069,黑芝麻,食品饮料,sz000716
0.004896913,中信国安,综合,sz000839
0.000472637,现代投资,交通运输,sz000900
0.00322505,航天科技,国防军工,sz000901
0.002150033,东方钽业,有色金属,sz000962
0.000475726,天保基建,房地产,sz000965
0.001243984,越秀金控,非银行金融,sz000987
0.000472637,招商港口,交通运输,sz001872
0.002511461,中钢天源,钢铁,sz002057
0.013546856,中环股份,电力设备及新能源,sz002129
0.00322505,成飞集成,国防军工,sz002190
0.013641589,ST云投,农林牧渔,sz002200
0.003496893,*ST升达,电力及公用事业,sz002259
0.002150033,精艺股份,有色金属,sz002295
0.002511461,博云新材,钢铁,sz002297
0.000691965,日海智能,通信,sz002313
0.011232069,得利斯,食品饮料,sz002330
0.012105263,新纶科技,基础化工,sz002341
0.015240213,ST森源,电力设备及新能源,sz002358
0.015240213,中恒电气,电力设备及新能源,sz002364
0.001303612,中远海科,计算机,sz002401
0.000166587,中粮资本,综合金融,sz002423
0.002001755,华斯股份,纺织服装,sz002494
0.011232069,佳隆股份,食品饮料,sz002495
0.015240213,协鑫集成,电力设备及新能源,sz002506
0.008445676,天汽模,汽车,sz002510
0.000691965,春兴精工,通信,sz002547
0.011232069,百润股份,食品饮料,sz002568
0.007611611,明牌珠宝,商贸零售,sz002574
0.001303612,雷柏科技,计算机,sz002577
0.011232069,好想你,食品饮料,sz002582
0.000982343,哈尔斯,家电,sz002615
